customer_id,customer_name,email,phone,signup_date
CUST1,Vivaan Mehta,vivaanmehta1@mail.com,9878006228,2/27/2022
CUST2,Neha Singh,nehasingh2@mail.com,9326962624,6/21/2024
CUST3,Sneha Nair,snehanair3@mail.com,9315264361,1/25/2021
CUST4,Aditya Reddy,adityareddy4@mail.com,9873847548,11/25/2024
CUST5,Sai Singh,saisingh5@mail.com,9721383096,10/15/2020
CUST6,Vikas Patel,vikaspatel6@mail.com,9967121211,11/3/2024
CUST7,Priya Patel,priyapatel7@mail.com,9127080643,1/16/2023
CUST8,Arjun Naidu,arjunnaidu8@mail.com,9499353337,2/22/2024
CUST9,Vivaan Das,vivaandas9@mail.com,9576301431,7/13/2021
CUST10,Aarav Reddy,aaravreddy10@mail.com,9586000250,7/9/2023
CUST11,Vikas Das,vikasdas11@mail.com,9538101081,7/7/2021
CUST12,Ananya Iyer,ananyaiyer12@mail.com,9447776611,9/15/2020
CUST13,Priya Kumar,priyakumar13@mail.com,9637230526,8/21/2024
CUST14,Aarav Singh,aaravsingh14@mail.com,9239007197,4/23/2021
CUST15,Aditya Menon,adityamenon15@mail.com,9507253169,2/22/2024
CUST16,Aditya Iyer,adityaiyer16@mail.com,9423944796,10/30/2024
CUST17,Sneha Mehta,snehamehta17@mail.com,9984593293,1/5/2023
CUST18,Karan Patel,karanpatel18@mail.com,9115448242,5/11/2023
CUST19,Karan Reddy,karanreddy19@mail.com,9456800217,8/13/2022
CUST20,Neha Menon,nehamenon20@mail.com,9731920693,1/16/2024
CUST21,Sai Mehta,saimehta21@mail.com,9769532648,6/8/2021
CUST22,Aarav Sharma,aaravsharma22@mail.com,9561142492,5/12/2021
CUST23,Kavya Reddy,kavyareddy23@mail.com,9910485679,12/5/2023
CUST24,Vikas Das,vikasdas24@mail.com,9975015498,11/12/2020
CUST25,Aarav Nair,aaravnair25@mail.com,9736808497,10/8/2022
CUST26,Krishna Singh,krishnasingh26@mail.com,9834634234,5/27/2024
CUST27,Sneha Menon,snehamenon27@mail.com,9667385571,11/2/2021
CUST28,Vivaan Sharma,vivaansharma28@mail.com,9288936000,1/26/2022
CUST29,Neha Patel,nehapatel29@mail.com,9403345039,8/13/2024
CUST30,Sneha Naidu,snehanaidu30@mail.com,9473258285,1/2/2022
CUST31,Arjun Gupta,arjungupta31@mail.com,9932948250,11/15/2022
CUST32,Rahul Mehta,rahulmehta32@mail.com,9293099331,5/15/2023
CUST33,Sneha Reddy,snehareddy33@mail.com,9655360615,7/8/2021
CUST34,Aarav Mehta,aaravmehta34@mail.com,9405091859,5/3/2021
CUST35,Sanjay Kumar,sanjaykumar35@mail.com,9705920358,4/19/2022
CUST36,Rohit Singh,rohitsingh36@mail.com,9206570084,8/23/2023
CUST37,Sneha Naidu,snehanaidu37@mail.com,9944087846,7/1/2023
CUST38,Aditya Singh,adityasingh38@mail.com,9174292890,1/25/2023
CUST39,Neha Nair,nehanair39@mail.com,9267274511,1/1/2023
CUST40,Ananya Patel,ananyapatel40@mail.com,9715236440,8/16/2025
CUST41,Rohit Mehta,rohitmehta41@mail.com,9726557053,9/27/2022
CUST42,Rohit Mehta,rohitmehta42@mail.com,9416399486,12/31/2021
CUST43,Arjun Nair,arjunnair43@mail.com,9913562082,8/10/2024
CUST44,Rohit Reddy,rohitreddy44@mail.com,9340705486,10/20/2020
CUST45,Vivaan Patel,vivaanpatel45@mail.com,9349642872,9/3/2023
CUST46,Aarav Patel,aaravpatel46@mail.com,9854212036,8/19/2023
CUST47,Rahul Singh,rahulsingh47@mail.com,9932612318,10/22/2022
CUST48,Kavya Naidu,kavyanaidu48@mail.com,9404329454,11/10/2023
CUST49,Vivaan Iyer,vivaaniyer49@mail.com,9976592881,2/6/2021
CUST50,Aditya Mehta,adityamehta50@mail.com,9224441771,7/4/2021
CUST51,Priya Reddy,priyareddy51@mail.com,9480054833,8/22/2021
CUST52,Pooja Mehta,poojamehta52@mail.com,9654852324,5/20/2024
CUST53,Arjun Das,arjundas53@mail.com,9291974019,3/15/2021
CUST54,Aarav Menon,aaravmenon54@mail.com,9401496563,2/26/2022
CUST55,Kavya Reddy,kavyareddy55@mail.com,9467730826,8/2/2022
CUST56,Pooja Sharma,poojasharma56@mail.com,9298735668,2/14/2021
CUST57,Aditya Iyer,adityaiyer57@mail.com,9592912829,1/23/2022
CUST58,Aarav Mehta,aaravmehta58@mail.com,9452892023,3/11/2023
CUST59,Arjun Reddy,arjunreddy59@mail.com,9312552428,8/20/2025
